Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
Neptune Discs ,Squid,176,21.2,2,1.1,17.5,1.9,27.75,8.75,,,,22-127,18-Jul-22
Hooligan Discs,Thread,175.1,21.1,1.5,1.1,17.1,2,31.5,6.25,,,,22-128,18-Jul-22
Clash Discs,Salt,174.3,21,1.7,1.1,16.4,2.3,27,10.68,,,,22-125,11-Jul-22
Nordisc,Tyrfing,175.1,21.1,1.7,1.1,17.7,1.7,33.25,8.18,,,,22-123,11-Jul-22
Nordisc,Níðhöggr,176,21.2,1.8,1.4,19.2,1,59.5,9.55,,,,22-122,11-Jul-22
Wild Discs,Hyena,176.8,21.3,1.7,1.1,17.5,1.9,30.5,5.45,,,,22-121,11-Jul-22
Sector,G1R1,175.1,21.1,1.5,1.2,16.5,2.3,44.25,4.09,,,,22-120,11-Jul-22
Daredevil Discs,Hellbender,176,21.2,1.7,1.3,19,1.1,60.5,8.52,,,,22-124,11-Jul-22
Thought Space Athletics,Alter,176,21.2,2,1.5,19,1.1,61.5,5.34,,,,22-126,11-Jul-22
MVP Disc Sports,Zenith,176,21.2,1.7,1.1,16.8,2.2,27,8.98,,,,22-118,1-Jul-22
Clash Discs,Wild Honey,174.3,21,1.8,1.1,16.4,2.3,27.5,11.14,,,,22-117,1-Jul-22
Clash Discs,Cookie,177.6,21.4,1.7,1.2,17.8,1.8,35.5,8.52,,,,22-116,1-Jul-22
Doomsday Discs,Frag,183.4,22.1,1.9,1.2,18.9,1.6,41,1.7,,,,22-119,1-Jul-22
Northstar Discs,Pacific,175.1,21.1,1.7,1.1,17.2,1.9,28,8.18,,,,22-109,27-Jun-22
Northstar Discs,Paladin,176,21.2,1.8,1.2,17.5,1.8,32,8.52,,,,22-110,27-Jun-22
Northstar Discs,Spy,176,21.2,1.8,1.3,18.8,1.2,52.5,7.95,,,,22-111,27-Jun-22
Northstar Discs,Zoom,175.1,21.1,2.2,1.5,19.1,1,68.5,6.7,,,,22-113,27-Jun-22
Northstar Discs,Wingman,180.1,21.7,1.8,1.3,19.1,1.3,34,6.59,,,,22-112,27-Jun-22
MVP Disc Sports,Glitch,176,21.2,2,1.6,19.5,0.8,66.5,3.41,,,,22-115,27-Jun-22
Doomsday Discs,Land Mine,182.6,22,1.8,1.5,19.6,1.2,92.75,4.66,,,,22-114,27-Jun-22
All 4 Frisbee,Haze,175.1,21.1,1.6,1.2,17.2,1.9,34.75,8.52,,,,22-105,20-Jun-22
Prodiscus,MidariX (beaded),179.3,21.6,2,1.5,18.8,1.4,41.25,7.95,,,,22-106,20-Jun-22
XCOM Discs,S-Bennu (凤鸣),174.3,21,2.6,1.4,19,1,61,6.25,,,,22-102,13-Jun-22
Lone Star Disc,Chupacabra,176,21.2,1.6,1.2,17.2,2,30.5,7.16,,,,22-103,13-Jun-22
Dynamic Discs,Supreme Escape,175.1,21.1,1.7,1.1,17.2,2,32.5,9.32,,,,22-104,13-Jun-22
Discmania,P1 (new),176,21.2,2,1.5,19,1.1,62.5,10.8,,,,22-99,6-Jun-22
Discmania,Cloudbreaker,175.1,21.1,1.8,1.2,16.5,2.3,27.25,11.93,,,,22-97,6-Jun-22
Discmania,FD3 (new),176.8,21.3,1.7,1.1,17.3,2,33.25,10.45,,,,22-98,6-Jun-22
Reptilian Disc Golf,Chameleon ,176,21.2,1.8,1.1,17.1,2,39.75,8.86,,,,22-95,6-Jun-22
Axiom Discs,Trance,174.3,21,1.8,1.2,17.1,1.9,41.25,9.32,,,,22-96,6-Jun-22
Lone Star Disc,The Dome,175.1,21.1,1.8,1.1,17.2,1.9,36,6.7,,,,22-100,6-Jun-22
Thought Space Athletics,Temple,176.8,21.3,1.7,1.4,18.9,1.2,53,6.02,,,,22-101,6-Jun-22
Lone Star Disc,Bull Snake,175.1,21.1,2,1.3,18.5,1.3,61.25,10.23,,,,22-94,30-May-22
EV-7,Telos ,174.3,21,1.9,1.5,18.9,1,67,10.8,,,,22-91,23-May-22
Windward Discs,Monsoon,176.8,21.3,2,1.3,18.7,1.3,46.5,6.14,,,,22-93,23-May-22
Doomsday Discs,Blackout,176,21.2,1.9,1.2,17.4,1.9,28.5,8.41,,,,22-92,23-May-22
TOSY,TOSY UltraLED S12,175.1,21.1,1.5,1.3,16,2.5,27.75,9.09,,,,22-83,16-May-22
Newb SimHouse Custom Discs,NSH8 Defiant,175.1,21.1,1.5,1.2,17.9,1.6,34.25,9.09,,,,22-82,16-May-22
Premier Discs,War Dove,175.1,21.1,2,1.6,18.9,1.1,68.25,10.23,,,,22-88,16-May-22
Doomsday Discs,Bleak,174.3,21,2.2,1.4,18.9,1.1,52,7.16,,,,22-85,16-May-22
Doomsday Discs,Despair,177.6,21.4,2.1,1.4,18.8,1.3,46.25,7.84,,,,22-86,16-May-22
Doomsday Discs,Dystopia,177.6,21.4,1.7,1.2,17.2,2.1,28.25,10.91,,,,22-87,16-May-22
Kastaplast,Guld,175.1,21.1,1.8,1.2,16.5,2.3,28.75,9.89,,,,22-89,16-May-22
Thought Space Athletics,Construct,176.8,21.3,1.6,1.2,17.2,2,26.5,11.14,,,,22-84,16-May-22
Løft Discs,Silicon,179.3,21.6,1.8,1.4,18.9,1.3,45,10,,,,22-90,16-May-22
RPM Discs/Disc Golf Aotearoa,Takapu (PA3),176,21.2,2.1,1.5,18.9,1.1,66.75,10.8,,,,22-74,9-May-22
Prodiscus,JokeriX (beaded),176.8,21.3,1.8,1.5,19,1.1,54,7.39,,,,22-75,9-May-22
Lucky Discs,Money Shot,176.8,21.3,1.8,1.5,19,1.1,54,6.93,,,,22-76,9-May-22
